Script_Id,Genre
1,Comedy
1,Romance
592,Action
592,Horror
592,Thriller
636,Drama
636,Mystery
636,Thriller
636,Horror
449,Drama
449,Fantasy
444,Comedy
444,Drama
444,Romance
99,Action
99,Comedy
873,Horror
873,Mystery
873,Thriller
138,Animation
138,Comedy
778,Horror
697,Action
697,Adventure
697,Mystery
697,Thriller
752,Comedy
752,Crime
752,Thriller
457,Comedy
457,Romance
515,Action
515,Sci-Fi
515,Thriller
899,Animation
899,Adventure
899,Comedy
844,Adventure
844,Drama
844,Thriller
628,Action
628,Thriller
628,Drama
404,Drama
404,Thriller
93,Comedy
324,Horror
324,Thriller
909,Drama
909,Horror
909,Mystery
909,Thriller
790,Action
790,Drama
790,Sci-Fi
188,Drama
188,War
188,Action
913,Comedy
913,Horror
913,Sci-Fi
988,Horror
988,Sci-Fi
988,Thriller
673,Crime
673,Drama
454,Comedy
454,Fantasy
454,Romance
967,Comedy
616,Crime
616,Drama
305,Crime
305,Drama
305,Thriller
766,Crime
766,Drama
766,Thriller
806,Action
806,Drama
52,Action
52,Horror
52,Thriller
1089,Action
1089,Adventure
1089,Comedy
1089,Fantasy
724,Action
724,Crime
724,Romance
724,Thriller
7,Action
7,Crime
7,Thriller
788,Action
788,Adventure
788,Comedy
788,Fantasy
750,Drama
750,Thriller
233,Drama
233,Sci-Fi
233,Thriller
743,Horror
743,Thriller
743,Mystery
910,Comedy
910,Romance
910,Drama
842,Action
842,Drama
842,Sci-Fi
741,Action
741,Crime
741,Drama
741,Thriller
721,Action
721,Comedy
721,Fantasy
960,Comedy
414,Drama
248,Drama
248,War
248,Romance
1096,Drama
652,Comedy
652,Drama
857,Action
857,Comedy
857,Crime
172,Romance
172,Thriller
680,Action
680,Comedy
680,Sci-Fi
698,Drama
698,Sci-Fi
698,Thriller
698,Adventure
443,Horror
443,Thriller
443,Mystery
1045,Crime
1045,Mystery
1045,Thriller
554,Action
554,Crime
554,Drama
554,Thriller
178,Action
178,Adventure
178,Drama
178,Sci-Fi
178,Thriller
178,Western
323,Crime
323,Film-Noir
323,Drama
165,Drama
165,Thriller
597,Adventure
597,Romance
597,War
183,Action
183,Comedy
183,Crime
183,Romance
915,Comedy
915,Drama
580,Drama
163,Drama
1044,Drama
1044,Romance
679,Action
679,Comedy
679,Sci-Fi
911,Horror
911,Mystery
231,Horror
231,Thriller
231,Comedy
231,Mystery
92,Comedy
92,Crime
101,Romance
101,Drama
780,Drama
496,Action
496,Adventure
496,Fantasy
496,Sci-Fi
73,Drama
73,Romance
946,Action
946,Adventure
946,Fantasy
946,Sci-Fi
991,Horror
991,Thriller
196,Comedy
196,Drama
196,Romance
1037,Drama
1037,Thriller
490,Drama
236,Drama
644,Comedy
644,Crime
644,Drama
808,Adventure
808,Mystery
808,Sci-Fi
332,Action
332,Adventure
332,Sci-Fi
332,Fantasy
61,Comedy
390,Comedy
390,Drama
220,Comedy
968,Action
968,Sci-Fi
968,Thriller
272,Action
272,Adventure
272,Drama
272,Fantasy
272,Romance
1093,Crime
1093,Drama
1093,Romance
