Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc
988,The Rage  Carrie 2,Mar-99,Feb-98,http://www.imsdb.com//scripts/The-Rage-Carrie-2.html,raw_Script/The Rage  Carrie 2.txt
788,Pirates of the Caribbean  Dead Man's Chest,6-Jul,6-Aug,http://www.imsdb.com//scripts/Pirates-of-the-Caribbean-Dead-Man's-Chest.html,raw_Script/Pirates of the Caribbean  Dead Man's Chest.txt
946,Star Wars  The Empire Strikes Back,May-80,,http://www.imsdb.com//scripts/Star-Wars-The-Empire-Strikes-Back.html,raw_Script/Star Wars  The Empire Strikes Back.txt
944,Star Wars  Return of the Jedi,,Dec-81,http://www.imsdb.com//scripts/Star-Wars-Return-of-the-Jedi.html,raw_Script/Star Wars  Return of the Jedi.txt
64,American Shaolin  King of Kickboxers II,,,http://www.imsdb.com//scripts/American-Shaolin-King-of-Kickboxers-II.html,raw_Script/American Shaolin  King of Kickboxers II.txt
633,Lord of the Rings  The Two Towers,2-Dec,,http://www.imsdb.com//scripts/Lord-of-the-Rings-The-Two-Towers.html,raw_Script/Lord of the Rings  The Two Towers.txt
179,Boondock Saints 2  All Saints Day,9-Nov,7-Sep,http://www.imsdb.com//scripts/Boondock-Saints-2-All-Saints-Day.html,raw_Script/Boondock Saints 2  All Saints Day.txt
845,Robin Hood  Prince of Thieves,,Jul-90,http://www.imsdb.com//scripts/Robin-Hood-Prince-of-Thieves.html,raw_Script/Robin Hood  Prince of Thieves.txt
134,Battle  Los Angeles,11-Mar,9-May,http://www.imsdb.com//scripts/Battle-Los-Angeles.html,raw_Script/Battle  Los Angeles.txt
10,2001  A Space Odyssey,,Feb-89,http://www.imsdb.com//scripts/2001-A-Space-Odyssey.html,raw_Script/2001  A Space Odyssey.txt
795,Pokemon  Mewtwo Returns,,2000,http://www.imsdb.com//scripts/Pokemon-Mewtwo-Returns.html,raw_Script/Pokemon  Mewtwo Returns.txt
487,Hellraiser 3  Hell on Earth,Sep-92,Jul-91,http://www.imsdb.com//scripts/Hellraiser-3-Hell-on-Earth.html,raw_Script/Hellraiser 3  Hell on Earth.txt
276,"Crow  City of Angels, The",Aug-96,,"http://www.imsdb.com//scripts/Crow-City-of-Angels,-The.html","raw_Script/Crow  City of Angels, The.txt"
38,Airplane 2  The Sequel,Dec-82,Feb-82,http://www.imsdb.com//scripts/Airplane-2-The-Sequel.html,raw_Script/Airplane 2  The Sequel.txt
489,Hellraiser  Hellseeker,2-Oct,Oct-00,http://www.imsdb.com//scripts/Hellraiser-Hellseeker.html,raw_Script/Hellraiser  Hellseeker.txt
45,Alien  Resurrection,,,http://www.imsdb.com//scripts/Alien-Resurrection.html,raw_Script/Alien  Resurrection.txt
485,Hellboy 2  The Golden Army,8-Jul,,http://www.imsdb.com//scripts/Hellboy-2-The-Golden-Army.html,raw_Script/Hellboy 2  The Golden Army.txt
643,Mad Max 2  The Road Warrior,May-82,Apr-81,http://www.imsdb.com//scripts/Mad-Max-2-The-Road-Warrior.html,raw_Script/Mad Max 2  The Road Warrior.txt
344,Elizabeth  The Golden Age,7-Oct,6-Jul,http://www.imsdb.com//scripts/Elizabeth-The-Golden-Age.html,raw_Script/Elizabeth  The Golden Age.txt
970,Sweeney Todd  The Demon Barber of Fleet Street,7-Dec,6-Dec,http://www.imsdb.com//scripts/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street.html,raw_Script/Sweeney Todd  The Demon Barber of Fleet Street.txt
1101,X-Men Origins  Wolverine,9-May,,http://www.imsdb.com//scripts/X-Men-Origins-Wolverine.html,raw_Script/X-Men Origins  Wolverine.txt
1025,TRON  Legacy,10-Dec,,http://www.imsdb.com//scripts/TRON-Legacy.html,raw_Script/TRON  Legacy.txt
632,Lord of the Rings  Return of the King,3-Dec,3-Oct,http://www.imsdb.com//scripts/Lord-of-the-Rings-Return-of-the-King.html,raw_Script/Lord of the Rings  Return of the King.txt
238,Cirque du Freak  The Vampire's Assistant,9-Oct,,http://www.imsdb.com//scripts/Cirque-du-Freak-The-Vampire's-Assistant.html,raw_Script/Cirque du Freak  The Vampire's Assistant.txt
410,G.I. Joe  The Rise of Cobra,9-Aug,7-Nov,http://www.imsdb.com//scripts/G.I.-Joe-The-Rise-of-Cobra.html,raw_Script/G.I. Joe  The Rise of Cobra.txt
161,Blade  Trinity,4-Dec,,http://www.imsdb.com//scripts/Blade-Trinity.html,raw_Script/Blade  Trinity.txt
947,Star Wars  The Phantom Menace,,1999,http://www.imsdb.com//scripts/Star-Wars-The-Phantom-Menace.html,raw_Script/Star Wars  The Phantom Menace.txt
234,"Chronicles of Narnia  The Lion, the Witch and the Wardrobe",5-Dec,,"http://www.imsdb.com//scripts/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html","raw_Script/Chronicles of Narnia  The Lion, the Witch and the Wardrobe.txt"
1087,Wild Things  Diamonds in the Rough,5-Feb,4-Feb,http://www.imsdb.com//scripts/Wild-Things-Diamonds-in-the-Rough.html,raw_Script/Wild Things  Diamonds in the Rough.txt
1021,Transformers  The Movie,,,http://www.imsdb.com//scripts/Transformers-The-Movie.html,raw_Script/Transformers  The Movie.txt
942,Star Wars  A New Hope,May-77,Jan-76,http://www.imsdb.com//scripts/Star-Wars-A-New-Hope.html,raw_Script/Star Wars  A New Hope.txt
