Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score,Clean_Script_Title,title_match
830,Reindeer Games,Reindeer Games (Deception),2/1/2000,,16279.0,2000.0,25.0,28.0,Reindeer Games,1
843,RKO 281,RKO 281: The Battle Over Citizen Kane,11/1/1999,5/1/1997,746767079.0,1999.0,92.0,74.0,RKO 281,1
845,Robin Hood  Prince of Thieves,Robin Hood: Prince of Thieves,,7/1/1990,10372.0,1991.0,59.0,73.0,Robin Hood  Prince of Thieves,1
861,S. Darko,S. Darko: A Donnie Darko Tale,5/9/2014,,770782179.0,2009.0,0.0,18.0,S. Darko,1
871,Scott Pilgrim vs the World,Scott Pilgrim vs. the World,8/10/2014,5/10/2014,770782775.0,2010.0,82.0,83.0,Scott Pilgrim vs the World,1
882,"Seventh Seal, The",The Seventh Seal (Det Sjunde inseglet),,,341817599.0,1957.0,94.0,94.0,The Seventh Seal,1
924,Someone To Watch Over Me,Someone to Watch over Me,,12/1/1986,13915.0,1987.0,76.0,43.0,Someone To Watch Over Me,1
942,Star Wars  A New Hope,Star Wars: Episode IV - A New Hope,5/1/1977,1/1/1976,11292.0,1977.0,93.0,96.0,Star Wars  A New Hope,1
944,Star Wars  Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,,12/1/1981,11366.0,1983.0,78.0,95.0,Star Wars  Return of the Jedi,1
946,Star Wars  The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,5/1/1980,,11470.0,1980.0,96.0,97.0,Star Wars  The Empire Strikes Back,1
947,Star Wars  The Phantom Menace,Star Wars: Episode I - The Phantom Menace,,6/21/1905,10008.0,1999.0,57.0,61.0,Star Wars  The Phantom Menace,1
970,Sweeney Todd  The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,12/7/2014,12/6/2014,770672301.0,2007.0,86.0,81.0,Sweeney Todd  The Demon Barber of Fleet Street,1
988,The Rage  Carrie 2,The Rage: Carrie 2,3/1/1999,2/1/1998,14152.0,1999.0,21.0,34.0,The Rage  Carrie 2,1
1000,Three Men and a Baby,Three Men and a Baby (3 Men and a Baby),,11/1/1986,10716.0,1987.0,75.0,47.0,Three Men and a Baby,1
1023,Tristan and Isolde,Tristan & Isolde,1/6/2014,,2864426.0,2005.0,32.0,72.0,Tristan and Isolde,1
1025,TRON  Legacy,Tron Legacy,12/10/2014,,770785471.0,2010.0,51.0,64.0,TRON  Legacy,1
1033,Twilight  New Moon,The Twilight Saga: New Moon,11/9/2014,12/8/2014,770801331.0,2009.0,27.0,61.0,Twilight  New Moon,1
1036,Two For The Money,Two For the Money,10/5/2014,10/4/2014,8568.0,2005.0,22.0,49.0,Two For The Money,1
1057,"Walk to Remember, A",A Walk to Remember,,7/1/2000,10093.0,2002.0,27.0,78.0,"Walk to Remember, A",1
1060,Wall-E,WALL-E,6/8/2014,,770671491.0,2008.0,96.0,89.0,Wall-E,1
1087,Wild Things  Diamonds in the Rough,Wild Things: Diamonds in the Rough,2/5/2014,2/4/2014,486278199.0,2005.0,-1.0,24.0,Wild Things  Diamonds in the Rough,1
1094,"Wizard of Oz, The","Wizard of Oz, The - We're Off to Save the Wizard",,3/1/1939,770896505.0,1992.0,-1.0,100.0,The Wizard of Oz,1
1097,"World is not Enough, The",The World Is Not Enough,,6/21/1905,10446.0,1999.0,51.0,50.0,The World is not Enough,1
680,Men in Black 3,Men in Black III,5/12/2014,,771041419.0,2012.0,70.0,71.0,Men in Black 3,1
687,Mighty Morphin Power Rangers  The Movie,Mighty Morphin Power Rangers - The Movie,6/1/1995,10/1/1994,11319.0,1995.0,50.0,57.0,Mighty Morphin Power Rangers  The Movie,1
698,Mission to Mars,Mission To Mars,3/1/2000,,10912.0,2000.0,25.0,30.0,Mission to Mars,1
706,Mr Blandings Builds His Dream House,Mr. Blandings Builds His Dream House,6/1/1948,,18202.0,1948.0,80.0,76.0,Mr Blandings Builds His Dream House,1
707,Mr Brooks,Mr. Brooks,6/7/2014,,577183017.0,2007.0,55.0,76.0,Mr Brooks,1
708,Mr Deeds Goes to Town,Mr. Deeds Goes to Town,4/1/1936,12/1/1935,18903.0,1936.0,94.0,86.0,Mr Deeds Goes to Town,1
776,"Perfect World, A",A Perfect World,,12/1/1992,11109.0,1993.0,81.0,84.0,"Perfect World, A",1
788,Pirates of the Caribbean  Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,7/6/2014,8/6/2014,190815398.0,2006.0,54.0,72.0,Pirates of the Caribbean  Dead Man's Chest,1
795,Pokemon  Mewtwo Returns,Pokemon - Mewtwo Returns,,6/22/1905,19297.0,1997.0,-1.0,59.0,Pokemon  Mewtwo Returns,1
798,Precious,Precious: Based on the Novel Push by Sapphire,11/9/2014,1/8/2014,770803691.0,2008.0,91.0,81.0,Precious,1
3,12 and Holding,Twelve and Holding (12 and Holding),5/6/2014,4/4/2014,155655015.0,2005.0,73.0,79.0,12 and Holding,1
10,2001  A Space Odyssey,2001: A Space Odyssey,,2/1/1989,9917.0,1968.0,97.0,89.0,2001  A Space Odyssey,1
16,50-50,50/50,9/11/2014,7/8/2014,771234468.0,2011.0,93.0,88.0,50-50,1
20,9,Nine,9/9/2014,,770783485.0,2009.0,37.0,37.0,9,1
31,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",The Adventures of Buckaroo Banzai Across the 8th Dimension,,3/1/1983,10264.0,1984.0,71.0,71.0,The Adventures of Buckaroo Banzai Across the Eighth Dimension,1
34,After.Life,AfterLife,4/10/2014,7/8/2014,770728549.0,2003.0,-1.0,67.0,After.Life,1
37,Airplane,Airplane!,7/1/1980,6/1/1979,10421.0,1980.0,98.0,89.0,Airplane,1
38,Airplane 2  The Sequel,Airplane 2 - The Sequel,12/1/1982,2/1/1982,10442.0,1982.0,39.0,51.0,Airplane 2  The Sequel,1
45,Alien  Resurrection,Alien Resurrection,,,13889.0,1997.0,52.0,41.0,Alien  Resurrection,1
49,All the King's Men,All The King's Men,11/1/1949,,287865326.0,2006.0,11.0,40.0,All the King's Men,1
64,American Shaolin  King of Kickboxers II,American Shaolin - King of the Kickboxers II,,,770901516.0,1992.0,-1.0,27.0,American Shaolin  King of Kickboxers II,1
134,Battle  Los Angeles,Battle: Los Angeles,3/11/2014,5/9/2014,770815449.0,2011.0,35.0,48.0,Battle  Los Angeles,1
