Script_id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc
1,10 Things I Hate About You,,Nov-97,http://www.imsdb.com//scripts/10-Things-I-Hate-About-You.html,unclean
592,Land of the Dead,5-Jun,4-Aug,http://www.imsdb.com//scripts/Land-of-the-Dead.html,raw_Script/Land of the Dead.txt
636,Lost Highway,,Jun-95,http://www.imsdb.com//scripts/Lost-Highway.html,raw_Script/Lost Highway.txt
449,"Green Mile, The",,Nov-97,"http://www.imsdb.com//scripts/Green-Mile,-The.html","raw_Script/Green Mile, The.txt"
444,"Graduate, The",,Mar-67,"http://www.imsdb.com//scripts/Graduate,-The.html",unclean
99,Austin Powers - International Man of Mystery,,Jul-96,http://www.imsdb.com//scripts/Austin-Powers---International-Man-of-Mystery.html,unclean
873,Scream 2,,1997,http://www.imsdb.com//scripts/Scream-2.html,raw_Script/Scream 2.txt
138,Beavis and Butt-head Do America,,,http://www.imsdb.com//scripts/Beavis-and-Butt-head-Do-America.html,unclean
778,Pet Sematary,,1986,http://www.imsdb.com//scripts/Pet-Sematary.html,unclean
697,Mission Impossible II,,Dec-94,http://www.imsdb.com//scripts/Mission-Impossible-II.html,unclean
752,Ocean's Twelve,4-Dec,,http://www.imsdb.com//scripts/Ocean's-Twelve.html,raw_Script/Ocean's Twelve.txt
457,Hall Pass,11-Feb,9-Sep,http://www.imsdb.com//scripts/Hall-Pass.html,raw_Script/Hall Pass.txt
515,I Am Number Four,11-Feb,10-Jan,http://www.imsdb.com//scripts/I-Am-Number-Four.html,raw_Script/I Am Number Four.txt
899,Shrek the Third,7-May,,http://www.imsdb.com//scripts/Shrek-the-Third.html,raw_Script/Shrek the Third.txt
844,"Road, The",9-Nov,,"http://www.imsdb.com//scripts/Road,-The.html","raw_Script/Road, The.txt"
628,"Long Kiss Goodnight, The",,1996,"http://www.imsdb.com//scripts/Long-Kiss-Goodnight,-The.html","raw_Script/Long Kiss Goodnight, The.txt"
404,Frozen,10-Feb,9-Jan,http://www.imsdb.com//scripts/Frozen.html,raw_Script/Frozen.txt
93,Arthur,11-Apr,9-Oct,http://www.imsdb.com//scripts/Arthur.html,raw_Script/Arthur.txt
324,Drag Me to Hell,9-May,7-Sep,http://www.imsdb.com//scripts/Drag-Me-to-Hell.html,raw_Script/Drag Me to Hell.txt
909,"Sixth Sense, The",,,"http://www.imsdb.com//scripts/Sixth-Sense,-The.html",unclean
790,"Planet of the Apes, The",,,"http://www.imsdb.com//scripts/Planet-of-the-Apes,-The.html",unclean
188,Braveheart,,1995,http://www.imsdb.com//scripts/Braveheart.html,raw_Script/Braveheart.txt
913,Slither,6-Mar,4-Sep,http://www.imsdb.com//scripts/Slither.html,raw_Script/Slither.txt
988,The Rage: Carrie 2,Mar-99,Feb-98,http://www.imsdb.com//scripts/The-Rage-Carrie-2.html,raw_Script/The Rage: Carrie 2.txt
673,Mean Streets,Oct-73,,http://www.imsdb.com//scripts/Mean-Streets.html,raw_Script/Mean Streets.txt
454,Groundhog Day,Feb-93,Jan-92,http://www.imsdb.com//scripts/Groundhog-Day.html,raw_Script/Groundhog Day.txt
967,"Surfer King, The",6-Jan,4-Apr,"http://www.imsdb.com//scripts/Surfer-King,-The.html","raw_Script/Surfer King, The.txt"
616,"Limey, The",,Aug-98,"http://www.imsdb.com//scripts/Limey,-The.html",unclean
305,"Departed, The",6-Oct,,"http://www.imsdb.com//scripts/Departed,-The.html","raw_Script/Departed, The.txt"
766,Panic Room,,Feb-00,http://www.imsdb.com//scripts/Panic-Room.html,unclean
