Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc,rt_id,rt_title,rt_year,rt_critics_score,rt_audience_score
3,12 and Holding,6-May,4-Apr,http://www.imsdb.com//scripts/12-and-Holding.html,raw_Script/12 and Holding.txt,155655015.0,Twelve and Holding (12 and Holding),2005.0,73.0,79.0
5,127 Hours,10-Nov,,http://www.imsdb.com//scripts/127-Hours.html,raw_Script/127 Hours.txt,771028554.0,127 Hours,2010.0,93.0,85.0
8,17 Again,9-Apr,7-Oct,http://www.imsdb.com//scripts/17-Again.html,raw_Script/17 Again.txt,770680214.0,17 Again,2009.0,55.0,68.0
10,2001  A Space Odyssey,,Feb-89,http://www.imsdb.com//scripts/2001-A-Space-Odyssey.html,raw_Script/2001  A Space Odyssey.txt,9917.0,2001: A Space Odyssey,1968.0,97.0,89.0
11,2012,9-Nov,8-Feb,http://www.imsdb.com//scripts/2012.html,raw_Script/2012.txt,770795544.0,2012,2009.0,39.0,47.0
13,30 Minutes or Less,11-Aug,9-Dec,http://www.imsdb.com//scripts/30-Minutes-or-Less.html,raw_Script/30 Minutes or Less.txt,771041151.0,30 Minutes or Less,2011.0,45.0,41.0
14,44 Inch Chest,10-Jan,,http://www.imsdb.com//scripts/44-Inch-Chest.html,raw_Script/44 Inch Chest.txt,770807379.0,44 Inch Chest,2009.0,41.0,36.0
16,50-50,11-Sep,8-Jul,http://www.imsdb.com//scripts/50-50.html,raw_Script/50-50.txt,771234468.0,50/50,2011.0,93.0,88.0
17,500 Days of Summer,9-Jul,,http://www.imsdb.com//scripts/500-Days-of-Summer.html,raw_Script/500 Days of Summer.txt,770801801.0,500 Days of Summer,2009.0,87.0,84.0
20,9,9-Sep,,http://www.imsdb.com//scripts/9.html,raw_Script/9.txt,770783485.0,Nine,2009.0,37.0,37.0
21,A Few Good Men,Dec-92,Jul-91,http://www.imsdb.com//scripts/A-Few-Good-Men.html,raw_Script/A Few Good Men.txt,15948.0,A Few Good Men,1992.0,81.0,89.0
22,A Serious Man,9-Oct,7-Jun,http://www.imsdb.com//scripts/A-Serious-Man.html,raw_Script/A Serious Man.txt,770785948.0,A Serious Man,2009.0,89.0,67.0
24,Above the Law,,Apr-87,http://www.imsdb.com//scripts/Above-the-Law.html,raw_Script/Above the Law.txt,14038.0,Above the Law,1988.0,57.0,49.0
25,Absolute Power,,May-96,http://www.imsdb.com//scripts/Absolute-Power.html,raw_Script/Absolute Power.txt,13603.0,Absolute Power,1997.0,45.0,52.0
28,Adaptation,,Nov-00,http://www.imsdb.com//scripts/Adaptation.html,raw_Script/Adaptation.txt,13212.0,Adaptation,2002.0,91.0,85.0
29,"Addams Family, The",Nov-91,Apr-91,"http://www.imsdb.com//scripts/Addams-Family,-The.html","raw_Script/Addams Family, The.txt",12675.0,The Addams Family,1991.0,60.0,66.0
30,"Adjustment Bureau, The",11-Mar,,"http://www.imsdb.com//scripts/Adjustment-Bureau,-The.html","raw_Script/Adjustment Bureau, The.txt",770810295.0,The Adjustment Bureau,2011.0,72.0,67.0
31,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",,Mar-83,"http://www.imsdb.com//scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html","raw_Script/Adventures of Buckaroo Banzai Across the Eighth Dimension, The.txt",10264.0,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984.0,71.0,71.0
32,Affliction,Jan-99,1997,http://www.imsdb.com//scripts/Affliction.html,raw_Script/Affliction.txt,16085.0,Affliction,1997.0,87.0,72.0
33,After School Special,,Jan-00,http://www.imsdb.com//scripts/After-School-Special.html,raw_Script/After School Special.txt,8847.0,National Lampoon's Barely Legal (After School Special),2003.0,-1.0,27.0
34,After.Life,10-Apr,8-Jul,http://www.imsdb.com//scripts/After.Life.html,raw_Script/After.Life.txt,770728549.0,AfterLife,2003.0,-1.0,67.0
35,Agnes of God,,,http://www.imsdb.com//scripts/Agnes-of-God.html,raw_Script/Agnes of God.txt,11917.0,Agnes of God,2002.0,46.0,56.0
