,Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Meta_Link
0,444,"Graduate, The",,Mar-67,"http://www.imsdb.com//scripts/Graduate,-The.html","http://www.imsdb.com/Movie%20Scripts/Graduate,%20The%20Script.html"
1,99,Austin Powers - International Man of Mystery,,Jul-96,http://www.imsdb.com//scripts/Austin-Powers---International-Man-of-Mystery.html,http://www.imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20International%20Man%20of%20Mystery%20Script.html
2,138,Beavis and Butt-head Do America,,,http://www.imsdb.com//scripts/Beavis-and-Butt-head-Do-America.html,http://www.imsdb.com/Movie%20Scripts/Beavis%20and%20Butt-head%20Do%20America%20Script.html
3,778,Pet Sematary,,1986,http://www.imsdb.com//scripts/Pet-Sematary.html,http://www.imsdb.com/Movie%20Scripts/Pet%20Sematary%20Script.html
4,697,Mission Impossible II,,Dec-94,http://www.imsdb.com//scripts/Mission-Impossible-II.html,http://www.imsdb.com/Movie%20Scripts/Mission%20Impossible%20II%20Script.html
5,909,"Sixth Sense, The",,,"http://www.imsdb.com//scripts/Sixth-Sense,-The.html","http://www.imsdb.com/Movie%20Scripts/Sixth%20Sense,%20The%20Script.html"
6,790,"Planet of the Apes, The",,,"http://www.imsdb.com//scripts/Planet-of-the-Apes,-The.html","http://www.imsdb.com/Movie%20Scripts/Planet%20of%20the%20Apes,%20The%20Script.html"
7,616,"Limey, The",,Aug-98,"http://www.imsdb.com//scripts/Limey,-The.html","http://www.imsdb.com/Movie%20Scripts/Limey,%20The%20Script.html"
8,766,Panic Room,,Feb-00,http://www.imsdb.com//scripts/Panic-Room.html,http://www.imsdb.com/Movie%20Scripts/Panic%20Room%20Script.html
9,1089,Willow,,,http://www.imsdb.com//scripts/Willow.html,http://www.imsdb.com/Movie%20Scripts/Willow%20Script.html
10,724,Natural Born Killers,,May-95,http://www.imsdb.com//scripts/Natural-Born-Killers.html,http://www.imsdb.com/Movie%20Scripts/Natural%20Born%20Killers%20Script.html
11,7,15 Minutes,,,http://www.imsdb.com//scripts/15-Minutes.html,http://www.imsdb.com/Movie%20Scripts/15%20Minutes%20Script.html
12,743,"Ninth Gate, The",,1999,"http://www.imsdb.com//scripts/Ninth-Gate,-The.html","http://www.imsdb.com/Movie%20Scripts/Ninth%20Gate,%20The%20Script.html"
13,721,Mystery Men,,Jun-97,http://www.imsdb.com//scripts/Mystery-Men.html,http://www.imsdb.com/Movie%20Scripts/Mystery%20Men%20Script.html
14,960,Sugar and Spice,,,http://www.imsdb.com//scripts/Sugar-and-Spice.html,http://www.imsdb.com/Movie%20Scripts/Sugar%20and%20Spice%20Script.html
15,857,Rush Hour,,,http://www.imsdb.com//scripts/Rush-Hour.html,http://www.imsdb.com/Movie%20Scripts/Rush%20Hour%20Script.html
16,172,Body of Evidence,,,http://www.imsdb.com//scripts/Body-of-Evidence.html,http://www.imsdb.com/Movie%20Scripts/Body%20of%20Evidence%20Script.html
17,1045,"Usual Suspects, The",,May-94,"http://www.imsdb.com//scripts/Usual-Suspects,-The.html","http://www.imsdb.com/Movie%20Scripts/Usual%20Suspects,%20The%20Script.html"
18,165,Blood Simple,,,http://www.imsdb.com//scripts/Blood-Simple.html,http://www.imsdb.com/Movie%20Scripts/Blood%20Simple%20Script.html
19,911,Sleepy Hollow,,Sep-98,http://www.imsdb.com//scripts/Sleepy-Hollow.html,http://www.imsdb.com/Movie%20Scripts/Sleepy%20Hollow%20Script.html
20,496,Highlander: Endgame,,Sep-99,http://www.imsdb.com//scripts/Highlander-Endgame.html,http://www.imsdb.com/Movie%20Scripts/Highlander:%20Endgame%20Script.html
21,991,They,,,http://www.imsdb.com//scripts/They.html,http://www.imsdb.com/Movie%20Scripts/They%20Script.html
22,196,Broadcast News,,,http://www.imsdb.com//scripts/Broadcast-News.html,http://www.imsdb.com/Movie%20Scripts/Broadcast%20News%20Script.html
23,1037,U Turn,,,http://www.imsdb.com//scripts/U-Turn.html,http://www.imsdb.com/Movie%20Scripts/U%20Turn%20Script.html
24,644,Made,,,http://www.imsdb.com//scripts/Made.html,http://www.imsdb.com/Movie%20Scripts/Made%20Script.html
25,61,American Pie,,Jul-98,http://www.imsdb.com//scripts/American-Pie.html,http://www.imsdb.com/Movie%20Scripts/American%20Pie%20Script.html
26,1093,Witness,,,http://www.imsdb.com//scripts/Witness.html,http://www.imsdb.com/Movie%20Scripts/Witness%20Script.html
27,689,Miller's Crossing,,,http://www.imsdb.com//scripts/Miller's-Crossing.html,http://www.imsdb.com/Movie%20Scripts/Miller's%20Crossing%20Script.html
28,36,Air Force One,,,http://www.imsdb.com//scripts/Air-Force-One.html,http://www.imsdb.com/Movie%20Scripts/Air%20Force%20One%20Script.html
29,122,Barton Fink,,,http://www.imsdb.com//scripts/Barton-Fink.html,http://www.imsdb.com/Movie%20Scripts/Barton%20Fink%20Script.html
30,12,25th Hour,,1-Apr,http://www.imsdb.com//scripts/25th-Hour.html,http://www.imsdb.com/Movie%20Scripts/25th%20Hour%20Script.html
31,398,Friday the 13th,,,http://www.imsdb.com//scripts/Friday-the-13th.html,http://www.imsdb.com/Movie%20Scripts/Friday%20the%2013th%20Script.html
32,126,Batman,,Oct-88,http://www.imsdb.com//scripts/Batman.html,http://www.imsdb.com/Movie%20Scripts/Batman%20Script.html
33,245,Clueless,,1995,http://www.imsdb.com//scripts/Clueless.html,http://www.imsdb.com/Movie%20Scripts/Clueless%20Script.html
34,345,Enemy of the State,,1998,http://www.imsdb.com//scripts/Enemy-of-the-State.html,http://www.imsdb.com/Movie%20Scripts/Enemy%20of%20the%20State%20Script.html
35,46,Aliens,,May-85,http://www.imsdb.com//scripts/Aliens.html,http://www.imsdb.com/Movie%20Scripts/Aliens%20Script.html
36,242,Clerks,,,http://www.imsdb.com//scripts/Clerks.html,http://www.imsdb.com/Movie%20Scripts/Clerks%20Script.html
37,162,"Blast from the Past, The",,,"http://www.imsdb.com//scripts/Blast-from-the-Past,-The.html","http://www.imsdb.com/Movie%20Scripts/Blast%20from%20the%20Past,%20The%20Script.html"
38,650,Man in the Iron Mask,,Sep-95,http://www.imsdb.com//scripts/Man-in-the-Iron-Mask.html,http://www.imsdb.com/Movie%20Scripts/Man%20in%20the%20Iron%20Mask%20Script.html
39,486,Hellraiser,,Nov-86,http://www.imsdb.com//scripts/Hellraiser.html,http://www.imsdb.com/Movie%20Scripts/Hellraiser%20Script.html
40,132,"Battle of Algiers, The",,,"http://www.imsdb.com//scripts/Battle-of-Algiers,-The.html","http://www.imsdb.com/Movie%20Scripts/Battle%20of%20Algiers,%20The%20Script.html"
41,1100,X-Men,,Feb-99,http://www.imsdb.com//scripts/X-Men.html,http://www.imsdb.com/Movie%20Scripts/X-Men%20Script.html
42,287,Dark Star,,,http://www.imsdb.com//scripts/Dark-Star.html,http://www.imsdb.com/Movie%20Scripts/Dark%20Star%20Script.html
43,127,Batman 2,,,http://www.imsdb.com//scripts/Batman-2.html,http://www.imsdb.com/Movie%20Scripts/Batman%202%20Script.html
44,504,"Horse Whisperer, The",,Jan-97,"http://www.imsdb.com//scripts/Horse-Whisperer,-The.html","http://www.imsdb.com/Movie%20Scripts/Horse%20Whisperer,%20The%20Script.html"
45,692,Minority Report,,1-May,http://www.imsdb.com//scripts/Minority-Report.html,http://www.imsdb.com/Movie%20Scripts/Minority%20Report%20Script.html
46,462,Hannah and Her Sisters,,,http://www.imsdb.com//scripts/Hannah-and-Her-Sisters.html,http://www.imsdb.com/Movie%20Scripts/Hannah%20and%20Her%20Sisters%20Script.html
47,1012,Tombstone,,Mar-93,http://www.imsdb.com//scripts/Tombstone.html,http://www.imsdb.com/Movie%20Scripts/Tombstone%20Script.html
48,602,Leaving Las Vegas,,Sep-94,http://www.imsdb.com//scripts/Leaving-Las-Vegas.html,http://www.imsdb.com/Movie%20Scripts/Leaving%20Las%20Vegas%20Script.html
49,630,Lord of Illusions,,Feb-94,http://www.imsdb.com//scripts/Lord-of-Illusions.html,http://www.imsdb.com/Movie%20Scripts/Lord%20of%20Illusions%20Script.html
50,684,Midnight Cowboy,,1969,http://www.imsdb.com//scripts/Midnight-Cowboy.html,http://www.imsdb.com/Movie%20Scripts/Midnight%20Cowboy%20Script.html
51,998,Three Kings,,Jun-98,http://www.imsdb.com//scripts/Three-Kings.html,http://www.imsdb.com/Movie%20Scripts/Three%20Kings%20Script.html
52,1030,True Romance,,,http://www.imsdb.com//scripts/True-Romance.html,http://www.imsdb.com/Movie%20Scripts/True%20Romance%20Script.html
53,277,Cruel Intentions,,Feb-98,http://www.imsdb.com//scripts/Cruel-Intentions.html,http://www.imsdb.com/Movie%20Scripts/Cruel%20Intentions%20Script.html
54,814,Punch-Drunk Love,,,http://www.imsdb.com//scripts/Punch-Drunk-Love.html,http://www.imsdb.com/Movie%20Scripts/Punch-Drunk%20Love%20Script.html
55,215,Casino,,,http://www.imsdb.com//scripts/Casino.html,http://www.imsdb.com/Movie%20Scripts/Casino%20Script.html
56,789,Pitch Black,,Mar-98,http://www.imsdb.com//scripts/Pitch-Black.html,http://www.imsdb.com/Movie%20Scripts/Pitch%20Black%20Script.html
57,989,Thelma & Louise,,Jun-90,http://www.imsdb.com//scripts/Thelma-&-Louise.html,http://www.imsdb.com/Movie%20Scripts/Thelma%20&%20Louise%20Script.html
58,858,Rush Hour 2,,,http://www.imsdb.com//scripts/Rush-Hour-2.html,http://www.imsdb.com/Movie%20Scripts/Rush%20Hour%202%20Script.html
59,260,Copycat,,,http://www.imsdb.com//scripts/Copycat.html,http://www.imsdb.com/Movie%20Scripts/Copycat%20Script.html
60,933,Sphere,,,http://www.imsdb.com//scripts/Sphere.html,http://www.imsdb.com/Movie%20Scripts/Sphere%20Script.html
61,553,Jacob's Ladder,,,http://www.imsdb.com//scripts/Jacob's-Ladder.html,http://www.imsdb.com/Movie%20Scripts/Jacob's%20Ladder%20Script.html
62,583,Klute,,,http://www.imsdb.com//scripts/Klute.html,http://www.imsdb.com/Movie%20Scripts/Klute%20Script.html
63,278,Crying Game,,,http://www.imsdb.com//scripts/Crying-Game.html,http://www.imsdb.com/Movie%20Scripts/Crying%20Game%20Script.html
64,402,From Dusk Till Dawn,,,http://www.imsdb.com//scripts/From-Dusk-Till-Dawn.html,http://www.imsdb.com/Movie%20Scripts/From%20Dusk%20Till%20Dawn%20Script.html
65,531,Indiana Jones IV,,Feb-95,http://www.imsdb.com//scripts/Indiana-Jones-IV.html,http://www.imsdb.com/Movie%20Scripts/Indiana%20Jones%20IV%20Script.html
66,869,Scary Movie 2,,,http://www.imsdb.com//scripts/Scary-Movie-2.html,http://www.imsdb.com/Movie%20Scripts/Scary%20Movie%202%20Script.html
67,480,Heavy Metal,,Jul-80,http://www.imsdb.com//scripts/Heavy-Metal.html,http://www.imsdb.com/Movie%20Scripts/Heavy%20Metal%20Script.html
68,738,Nightmare on Elm Street: The Final Chapter,,,http://www.imsdb.com//scripts/Nightmare-on-Elm-Street-The-Final-Chapter.html,http://www.imsdb.com/Movie%20Scripts/Nightmare%20on%20Elm%20Street:%20The%20Final%20Chapter%20Script.html
69,746,Nurse Betty,,Mar-99,http://www.imsdb.com//scripts/Nurse-Betty.html,http://www.imsdb.com/Movie%20Scripts/Nurse%20Betty%20Script.html
70,4,12 Monkeys,,Jun-94,http://www.imsdb.com//scripts/12-Monkeys.html,http://www.imsdb.com/Movie%20Scripts/12%20Monkeys%20Script.html
71,730,Next Friday,,,http://www.imsdb.com//scripts/Next-Friday.html,http://www.imsdb.com/Movie%20Scripts/Next%20Friday%20Script.html
72,373,Fear and Loathing in Las Vegas,,,http://www.imsdb.com//scripts/Fear-and-Loathing-in-Las-Vegas.html,http://www.imsdb.com/Movie%20Scripts/Fear%20and%20Loathing%20in%20Las%20Vegas%20Script.html
73,999,Three Kings (Spoils of War),,Jul-95,http://www.imsdb.com//scripts/Three-Kings-(Spoils-of-War).html,http://www.imsdb.com/Movie%20Scripts/Three%20Kings%20(Spoils%20of%20War)%20Script.html
74,1086,Wild Things,,Jan-97,http://www.imsdb.com//scripts/Wild-Things.html,http://www.imsdb.com/Movie%20Scripts/Wild%20Things%20Script.html
75,612,Life As A House,,,http://www.imsdb.com//scripts/Life-As-A-House.html,http://www.imsdb.com/Movie%20Scripts/Life%20As%20A%20House%20Script.html
76,192,"Breakfast Club, The",,,"http://www.imsdb.com//scripts/Breakfast-Club,-The.html","http://www.imsdb.com/Movie%20Scripts/Breakfast%20Club,%20The%20Script.html"
77,838,Return of the Apes,,,http://www.imsdb.com//scripts/Return-of-the-Apes.html,http://www.imsdb.com/Movie%20Scripts/Return%20of%20the%20Apes%20Script.html
78,201,Buffy the Vampire Slayer,,,http://www.imsdb.com//scripts/Buffy-the-Vampire-Slayer.html,http://www.imsdb.com/Movie%20Scripts/Buffy%20the%20Vampire%20Slayer%20Script.html
79,380,Final Destination,,Jan-99,http://www.imsdb.com//scripts/Final-Destination.html,http://www.imsdb.com/Movie%20Scripts/Final%20Destination%20Script.html
80,828,Red Planet,,,http://www.imsdb.com//scripts/Red-Planet.html,http://www.imsdb.com/Movie%20Scripts/Red%20Planet%20Script.html
81,239,Citizen Kane,,,http://www.imsdb.com//scripts/Citizen-Kane.html,http://www.imsdb.com/Movie%20Scripts/Citizen%20Kane%20Script.html
82,303,"Deer Hunter, The",,,"http://www.imsdb.com//scripts/Deer-Hunter,-The.html","http://www.imsdb.com/Movie%20Scripts/Deer%20Hunter,%20The%20Script.html"
83,890,Shampoo,,,http://www.imsdb.com//scripts/Shampoo.html,http://www.imsdb.com/Movie%20Scripts/Shampoo%20Script.html
84,412,"Game, The",,Feb-96,"http://www.imsdb.com//scripts/Game,-The.html","http://www.imsdb.com/Movie%20Scripts/Game,%20The%20Script.html"
85,696,Mission Impossible,,Aug-95,http://www.imsdb.com//scripts/Mission-Impossible.html,http://www.imsdb.com/Movie%20Scripts/Mission%20Impossible%20Script.html
86,891,"Shawshank Redemption, The",,,"http://www.imsdb.com//scripts/Shawshank-Redemption,-The.html","http://www.imsdb.com/Movie%20Scripts/Shawshank%20Redemption,%20The%20Script.html"
87,645,Magnolia,,Nov-98,http://www.imsdb.com//scripts/Magnolia.html,http://www.imsdb.com/Movie%20Scripts/Magnolia%20Script.html
