Script_Id,Writer_Name
592,George A. Romero
636,David Lynch
636,Barry Gifford
449,Stephen King
449,Frank Darabont
873,Kevin Williamson
752,George Nolfi
457,Peter Farrelly
457,Bobby Farrelly
457,Kevin Barnett
457,Pete Jones
515,Alfred Gough
515,Miles Millar
899,Peter Seaman
899,Jeffrey Price
899,Chris Miller
899,Aron Warner
844,Joe Penhall
628,Shane Black
404,Adam Green
93,Peter Baynham
324,Ivan Raimi
324,Sam Raimi
188,Randall Wallace
913,James Gunn
988,Rafael Moreu
673,Martin Scorsese
673,Mardik Martin
673,Ethan Edwards
454,Danny Rubin
967,Bernard Murray Jr
305,William Monahan
806,David S. Ward
806,Aaron Latham
52,Elan Mastai
52,Michael Roesch
788,Ted Elliott
788,Terry Rossio
750,David Loughery
233,Max Landis
233,Josh Trank
910,Jeff Arch
910,Nora Ephron
910,David S. Ward
842,Rick Jaffa
842,Amanda Silver
842,Jamie Moss
741,Matthew Sand
741,J. Michael Straczynski
414,John Briley
248,Charles Frazier
248,Anthony Minghella
1096,Steven Fechter
1096,Nicole Kassell
652,Scott Alexander
652,Larry Karaszewski
680,Etan Cohen
680,Lowell Cunningham
698,Lowell Cannon
698,Jim Thomas
698,John Thomas
698,Graham Yost
443,Sebastian Gutierrez
554,Joe Eszterhas
178,Gary Whitta
323,James M. Cain
323,Billy Wilder
323,Raymond Chandler
597,Michael Mann
597,Christopher Crowe
183,Sarah Thorp
915,Susan Burke
915,James Ponsoldt
580,David Seidler
163,John Lee Hancock
163,Michael Lewis
1044,Jason Reitman
1044,Sheldon Turner
679,Lowell Cunningham
679,Ed Solomon
231,Ken Selden
92,Julius J. Epstein
92,Philip G. Epstein
92,Joseph Kesselring
101,Allison Burnett
780,Larry Marcus
73,Gerald DiPego
946,George Lucas
946,Lawrence Kasdan
946,Leigh Brackett
490,Tate Taylor
490,Kathryn Stockett
236,Ring Lardner Jr
236,Terry Southern
236,Richard Jessup
808,Jon Spaihts
332,David Lynch
332,Frank Herbert
390,Allison Anders
390,Quentin Tarantino
390,Robert Rodriguez
390,Alexandre Rockwell
220,Phil Johnston
968,John Brancato
968,Michael Ferris
968,Robert Venditti
272,Wang Hui Ling
272,James Schamus
272,Tsai Kuo Jung
1080,Jon Hoeber
1080,Erich Hoeber
1080,Greg Rucka
1073,Nora Ephron
530,George Lucas
530,Willard Huyck
530,Gloria Katz
672,Beau Michael Thorne
1084,Walon Green
1084,Sam Peckinpah
667,John Collee
667,Peter Weir
856,Josann McGibbon
856,Sara Parriott
944,George Lucas
944,Lawrence Kasdan
112,Gregory Widen
164,Nick Villiers
1013,Bruce Feirstein
1013,Ian Fleming
151,Collin Friesen
89,Chris Terrio
599,Michael Hoffman
599,Jan Parini
87,David S. Goyer
959,Anna Boden
959,Ryan Fleck
384,Lorenzo Semple Jr.
926,Ben Ripley
64,Keith Strandburg
291,George A. Romero
653,Carole Eastman
681,Peter Straughan
681,Jon Ronson
13,Michael Diliberti
13,Matthew Sullivan
298,Marty Kaplan
771,Simon Pegg
771,Nick Frost
633,Peter Jackson
633,Fran Walsh
633,Philippa Boyens
5,Simon Beaufoy
5,Danny Boyle
691,Nick Guthe
600,Bernardo Bertolucci
600,Franco Arcalli
935,Joel Schumacher
935,Carl Kurlander
930,Brian Helgeland
1002,John Fusco
879,Joss Whedon
843,John Logan
549,Nancy Meyers
362,Mike Judge
182,Andy Wachowski
182,Larry Wachowski
1043,Pete Docter
1043,Bob Peterson
1043,Thomas McCarthy
207,J. Mackye Gruber
207,Eric Bress
826,Cornell Woolrich
826,John Michael Hayes
1109,Martin Curland
391,Dan Pyne
58,David McKenna
312,Doug Richardson
312,Steven E. de Souza
581,Matthew Michael Carnahan
56,Steven Zaillian
56,Mark Jacobson
67,Rowan Joffe
173,Lawrence Kasdan
883,Michael Patrick King
11,Roland Emmerich
11,Harald Kloser
715,Nina Wilcox Putnam
715,Richard Schayer
715,John L. Balderston
715,Stephen Sommers
